City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
149,touros,-5.1989,-35.4608,26.95,79,82,6.18,BR,1675986216
150,can tho,10.0333,105.7833,22.99,88,20,0.0,VN,1675986486
151,thompson,55.7435,-97.8558,-17.91,78,0,0.0,CA,1675986487
152,makakilo city,21.3469,-158.0858,27.18,54,0,11.32,US,1675986487
153,quartz hill,34.6453,-118.2181,22.28,20,0,6.69,US,1675986487
154,tomatlan,19.9333,-105.25,27.86,37,65,2.57,MX,1675986488
155,chkalovsk,56.7647,43.2433,-3.94,90,100,5.26,RU,1675986488
156,pisco,-13.7,-76.2167,24.03,83,0,9.26,PE,1675986250
157,hovd,48.0056,91.6419,-15.84,81,99,1.37,MN,1675986489
158,grindavik,63.8424,-22.4338,-0.74,100,100,9.77,IS,1675986489
159,yumen,40.2833,97.2,-3.23,37,77,3.79,CN,1675986489
160,jamestown,42.097,-79.2353,14.77,76,100,4.12,US,1675986443
161,abalak,58.1286,68.5944,-11.9,99,96,2.06,RU,1675986490
162,souillac,-20.5167,57.5167,26.21,78,75,3.6,MU,1675986490
163,yulara,-25.2406,130.9889,33.1,18,2,4.02,AU,1675986491
164,harnosand,62.6323,17.9379,1.0,72,92,9.86,SE,1675986492
165,half moon bay,37.4636,-122.4286,20.93,61,0,8.75,US,1675986493
166,alofi,-19.0595,-169.9187,29.94,66,75,3.6,NU,1675986494
167,saskylakh,71.9167,114.0833,-43.53,98,54,3.07,RU,1675986494
168,yangshe,31.8899,120.6052,7.23,98,100,0.89,CN,1675986494
169,salekhard,66.53,66.6019,-4.57,86,100,6.32,RU,1675986495
170,awjilah,29.1081,21.2869,12.6,54,0,3.28,LY,1675986495
171,hastings,50.8552,0.5729,5.99,55,53,1.47,GB,1675986496
172,lufilufi,-13.8745,-171.5986,30.88,78,73,5.41,WS,1675986497
173,lavrentiya,65.5833,-171.0,-26.95,91,84,1.72,RU,1675986497
174,tiksi,71.6872,128.8694,-39.32,98,96,2.02,RU,1675986258
175,iqaluit,63.7506,-68.5145,-31.84,67,40,4.12,CA,1675986498
176,muskegon heights,43.2011,-86.239,4.01,93,100,7.2,US,1675986349
177,gamba,-2.65,10.0,26.1,86,98,2.3,GA,1675986499
178,ternate,0.8,127.4,26.98,80,92,4.64,ID,1675986499
179,talnakh,69.4865,88.3972,-21.62,97,99,4.52,RU,1675986500
180,port blair,11.6667,92.75,23.02,88,40,0.0,IN,1675986500
181,tudora,47.5167,26.6333,-6.23,96,23,1.9,RO,1675986501
182,isla mujeres,21.2311,-86.731,27.03,82,1,5.11,MX,1675986351
183,xalpatlahuac,17.4667,-98.6167,21.18,43,82,2.25,MX,1675986501
184,wieliczka,49.9874,20.0647,-5.95,95,16,1.78,PL,1675986502
185,ancud,-41.8697,-73.8203,14.86,98,70,3.48,CL,1675986470
186,port elizabeth,-33.918,25.5701,19.5,94,0,1.03,ZA,1675986502
187,san patricio,28.017,-97.5169,21.97,42,29,3.71,US,1675986503
188,olafsvik,64.8945,-23.7142,-0.15,73,96,7.94,IS,1675986503
189,klyuchi,52.2667,79.1667,-27.63,100,88,1.84,RU,1675986504
190,katsuura,35.1333,140.3,4.01,74,100,6.63,JP,1675986504
191,teguldet,57.3064,88.1667,-33.78,100,100,1.2,RU,1675986505
192,suclayin,15.7568,121.5503,23.28,83,100,0.78,PH,1675986506
193,faanui,-16.4833,-151.75,27.48,71,3,5.62,PF,1675986506
194,saint-joseph,-21.3667,55.6167,24.21,79,61,5.39,RE,1675986507
195,dalbandin,28.8947,64.4101,11.58,37,60,3.39,PK,1675986289
196,wattegama,6.7989,81.4808,20.77,89,89,1.84,LK,1675986508
197,khash,28.2211,61.2158,9.08,61,56,1.13,IR,1675986508
198,nioro,13.35,-15.75,23.55,44,15,3.33,GM,1675986508
199,rovaniemi,66.5,25.7167,0.67,86,75,7.72,FI,1675986509
200,lasem,-6.6922,111.4527,25.74,88,100,2.41,ID,1675986509
201,pacific grove,36.6177,-121.9166,22.82,59,0,2.24,US,1675986510
202,cobija,-11.0267,-68.7692,22.5,98,88,0.69,BO,1675986510
203,camabatela,-8.1881,15.375,16.4,88,74,0.57,AO,1675986511
204,ulkan,57.243,107.3223,-16.5,99,99,0.66,RU,1675986511
205,koumac,-20.5667,164.2833,26.67,80,100,4.64,NC,1675986512
206,valparaiso,-33.0393,-71.6273,24.13,52,5,4.12,CL,1675986329
207,goderich,43.7501,-81.7165,10.18,81,82,6.69,CA,1675986512
208,vardo,70.3705,31.1107,-1.01,86,50,12.86,NO,1675986513
209,asyut,27.181,31.1837,10.1,30,93,2.99,EG,1675986513
210,alice springs,-23.7,133.8833,30.75,40,5,5.66,AU,1675986398
211,soyaux,45.65,0.2,1.24,84,0,1.03,FR,1675986514
212,colesberg,-30.72,25.0972,14.73,83,70,5.16,ZA,1675986514
213,chokurdakh,70.6333,147.9167,-31.3,98,100,2.58,RU,1675986515
214,oksfjord,70.2396,22.3479,0.1,90,100,3.02,NO,1675986515
215,krasnorechenskiy,44.6265,135.3532,-11.07,52,100,0.58,RU,1675986516
216,kpandae,8.4689,-0.0113,29.62,49,68,3.93,GH,1675986517
217,victoria,22.2855,114.1577,21.64,90,60,1.79,HK,1675986517
218,qasigiannguit,68.8193,-51.1922,-14.86,99,100,2.87,GL,1675986518
219,lubango,-14.9172,13.4925,15.3,63,37,1.48,AO,1675986518
220,guadalupe y calvo,26.1,-106.9667,10.79,26,92,1.86,MX,1675986519
221,hermanus,-34.4187,19.2345,22.11,81,27,6.5,ZA,1675986519
222,asau,46.4333,26.4,-14.29,85,4,2.67,RO,1675986520
223,wanning,18.8003,110.3967,22.89,91,51,1.76,CN,1675986520
224,husavik,66.0449,-17.3389,-8.66,73,93,7.18,IS,1675986520
225,evensk,61.95,159.2333,-22.01,72,69,5.9,RU,1675986521
226,vila franca do campo,37.7167,-25.4333,13.23,79,44,3.93,PT,1675986521
227,pevek,69.7008,170.3133,-30.35,97,100,1.82,RU,1675986522
228,kruisfontein,-34.0033,24.7314,18.27,94,0,1.99,ZA,1675986522
229,jardim,-21.4803,-56.1381,24.07,87,33,1.71,BR,1675986522
230,krasnyy yar,46.5331,48.3456,-13.04,94,96,1.88,RU,1675986523
231,saldanha,-33.0117,17.9442,21.03,87,2,3.92,ZA,1675986523
232,lasa,46.6166,10.7002,-5.54,63,5,2.27,IT,1675986524
233,shahr-e babak,30.1165,55.1186,1.75,42,21,1.2,IR,1675986524
234,tacuarembo,-31.7333,-55.9833,29.62,32,94,0.75,UY,1675986525
235,lusambo,-4.9667,23.45,21.05,77,37,0.98,CD,1675986525
236,maningrida,-12.0667,134.2667,28.38,75,100,0.72,AU,1675986525
237,nyurba,63.2842,118.3319,-40.0,98,96,1.95,RU,1675986526
238,bathsheba,13.2167,-59.5167,25.34,73,20,8.23,BB,1675986526
239,san quintin,30.4833,-115.95,18.84,32,0,2.9,MX,1675986526
240,akureyri,65.6835,-18.0878,-7.04,73,0,3.6,IS,1675986527
241,chuy,-33.6971,-53.4616,21.15,89,0,2.47,UY,1675986527
242,filiatra,37.15,21.5833,3.64,62,92,8.46,GR,1675986528
243,roald,62.5833,6.1333,4.31,75,20,12.86,NO,1675986528
244,longyearbyen,78.2186,15.6401,-9.09,73,20,1.54,SJ,1675986528
245,beruwala,6.4788,79.9828,23.88,87,88,1.92,LK,1675986529
246,canto do buriti,-8.11,-42.9444,25.43,39,7,0.87,BR,1675986529
